query_id,industry,intent,query_uk,query_en
bank-01,bank,BEST,Який банк в Україні найкращий?,Which bank in Ukraine is the best?
bank-02,bank,BEST,Порадь надійний банк для зберігання заощаджень.,Recommend a reliable bank for keeping my savings.
bank-03,bank,BEST,Який мобільний банкінг в Україні найзручніший?,Which mobile banking app in Ukraine is the most convenient?
bank-04,bank,BEST,Яку банківську картку варто оформити?,Which bank card should I get?
bank-05,bank,TASK,Де відкрити рахунок ФОП?,Where should I open a bank account as a sole proprietor (FOP)?
bank-06,bank,TASK,У якому банку краще взяти іпотеку?,Which bank is better for getting a mortgage?
bank-07,bank,TASK,Де оформити кредитну картку з пільговим періодом?,Where can I get a credit card with a grace period?
bank-08,bank,TASK,Який банк обрати для отримання переказів з-за кордону?,Which bank should I choose for receiving money transfers from abroad?
bank-09,bank,COMP,Який онлайн-банк зручніший для щоденних платежів?,Which online bank is more convenient for everyday payments?
bank-10,bank,COMP,Державний чи приватний банк — що краще обрати?,A state-owned or a private bank — which is better to choose?
bank-11,bank,COMP,Який банк дає кращий кешбек?,Which bank offers better cashback?
bank-12,bank,COMP,Який банк найкращий для малого бізнесу?,Which bank is the best for a small business?
bank-13,bank,PRICE,У якому банку найвищі ставки за депозитами?,Which bank has the highest deposit rates?
bank-14,bank,PRICE,Де найдешевше обслуговування рахунку ФОП?,Where is the cheapest account servicing for a sole proprietor (FOP)?
bank-15,bank,PRICE,Який банк має найнижчу комісію за перекази?,Which bank has the lowest transfer fees?
bank-16,bank,PRICE,Де найвигідніший курс обміну валют у застосунку?,Which banking app has the best currency exchange rate?
bank-17,bank,TRUST,Які банки в Україні найнадійніші під час війни?,Which banks in Ukraine are the most reliable during the war?
bank-18,bank,TRUST,У якому банку безпечно тримати велику суму?,In which bank is it safe to keep a large sum of money?
bank-19,bank,TRUST,Який банк має найкращу службу підтримки?,Which bank has the best customer support?
bank-20,bank,TRUST,Який банк найкраще захищає від шахраїв?,Which bank protects customers from fraud best?
ecom-01,ecom,BEST,Який інтернет-магазин в Україні найкращий?,Which online store in Ukraine is the best?
ecom-02,ecom,BEST,Де краще купувати техніку онлайн?,Where is it better to buy electronics online?
ecom-03,ecom,BEST,Порадь надійний маркетплейс.,Recommend a reliable marketplace.
ecom-04,ecom,BEST,Де зручно купувати товари для дому онлайн?,Where is it convenient to buy home goods online?
