id,lang,answer_ending,label (context_request / generic_offer / none)
0,en,"discounts online. Dealnews: Experts hand-pick and verify the lowest current prices from reputable retailers. Woot!: An Amazon-run daily deals site featuring steep, limited-time price cuts on tech and home goods. 🛍️ Top Retailers for Deep Discounts Walmart: Consistently low everyday prices, rollbacks, and seasonal clearance on general merchandise. Nordstrom Rack: Deep online markdowns (up to 80% off) on designer brands and apparel. eBay: The ""Today's Deals"" section offers major percentage-off discounts on brand-name goods. To help narrow down the best store or deal for you, tell me: What type of product are you looking for (electronics, clothing, home goods, etc.)? What is your target budget?",
2,uk,"ості на їхніх власних складах, безкоштовно доставляють у фірмові точки видачі вже на наступний день. Торгсофт EVA.ua та MakeUp — лідери у сфері краси. Вони мають власні кур'єрські служби у великих містах, які часто привозять замовлення наступного дня або навіть у день оформлення. Інтернет-магазини з відправкою через Нову Пошту — будь-який онлайн-магазин (наприклад, Фокстрот, Comfy або сотні дрібних продавців), який оформлює ТТН та передає товар перевізнику до 16:00–18:00. Нова Пошта доставляє такі посилки між великими містами України за 24 години. soncotton.com.ua +1 Щоб дізнатися, де саме вам буде найшвидше зробити покупку, підкажіть: який саме товар ви шукаєте та в якому місті перебуваєте?",
7,uk," замовлень і регулярними акціями. Фокстрот: Один із лідерів ринку техніки з офіційною гарантією, програмами лояльності та зручною онлайн-оплатою. АЛЛО: Популярний ритейлер смарт-техніки, гаджетів та електроніки з оперативною доставкою. COMFY +2 Сервіси для порівняння цін Hotline: Зручний інструмент для порівняння цін в інтернет-магазинах України, перегляду реальних відгуків покупців та історії зміни вартості товарів. E-Katalog: Допомагає знайти найкращу ціну на конкретну модель техніки серед тисяч продавців. Hotline +1 Розкажіть, яку саме техніку ви шукаєте (наприклад, смартфон, холодильник чи ноутбук) і який у вас бюджет, щоб я міг порадити конкретні моделі та магазини з найкращими умовами.",
8,en,"ivery windows and highly secure transit controls. Best for: Urgent, high-priority valuable shipments. WareSpace 💡 Essential Safety Tips for Valuables Add Extra Insurance: Never rely on basic liability cover; declare the true value and purchase supplemental transit insurance. Require a Signature: Always select options that mandate an in-person signature upon delivery. Discreet Packaging: Use plain, sturdy outer packaging without any labels or brand names hinting at the valuable contents inside. Post Office UK +2 If you can share the origin, destination, and type of item (e.g., jewelry, electronics, art), I can recommend the exact service tier or specialized courier best suited for your route.",
15,uk,"). Tabletki.ua +1 Аптека D.S. (партнерська/франчайзинг) Адреса: провулок Пилипчука, 1 (поблизу станції швидкої допомоги). Графік роботи: Цілодобово (24/7). Порада: Перед поїздкою вночі рекомендуємо зателефонувати або перевірити наявність та актуальний статус роботи через сервіси на кшталт Tabletki.ua, оскільки графік у період воєнного стану чи через енергоситуацію може змінюватися. Також деякі відділення мережі Подорожник працюють від генераторів до пізнього вечора або цілодобово за окремими адресами (наприклад, подекуди на житлових масивах). Подорожник +1 Якщо вам потрібні ліки в конкретному районі міста або ви шукаєте назву конкретного препарату, напишіть мені, і я перевірю його наявність.",
18,uk,"ні. Rozetka Prom.ua: Великий торговий майданчик, де представлені тисячі продавців із різноманітними господарчими товарами, органайзерами та декором. Торгсофт +1 Епіцентр (EpicentrK.ua): Зручний онлайн-гіпермаркет для купівлі всередині дому, ремонту, меблів та побутової техніки з доставкою або самовивозом. ХозСклад: Спеціалізований інтернет-магазин із великим асортиментом систем зберігання, текстилю, кухонного приладдя та аксесуарів. ХозСклад Якщо ви шукаєте щось конкретне, розкажіть: Які саме товари для дому вам потрібні (меблі, декор, текстиль, побутова хімія)? Чи важлива для вас безкоштовна доставка або наявність фізичного пункту видачі у Хмельницькому? Я допоможу обрати найкращий варіант!",
21,uk,"оль домашніх ліків Ні Є (нагадування про термін придатності) Обов'язкова реєстрація Не потрібна Потрібна для збереження бонусів Альтернативи, на які варто звернути увагу Apteki.ua: Головний конкурент Таблеток. Зручний тим, що дозволяє замовляти ліки списком в одній аптеці або купувати ліки частинами (наприклад, один блістер чи ампулу). Google Play Аптека Бажаємо здоров'я: Має лаконічний та дуже простий інтерфейс, який чудово підходить для людей старшого віку, оскільки не перевантажений зайвими функціями. Apple Яким саме функціям ви надаєте перевагу — порівнянню цін у різних аптеках чи накопиченню бонусів в одній улюбленій мережі? Напишіть, і я допоможу обрати найкращий варіант під ваш запит!",
26,en,"quirement. DontPayFull +1 Minimum Spending Thresholds Walmart: Provides free shipping and delivery on eligible orders over $35. Best Buy: Grants free standard delivery on orders over $35 (minimum spend waived for My Best Buy members). Macy's: Offers free shipping on orders of $25 or more. Shopbop: Features free delivery on orders over $40. Forever 21: Ships for free on purchases of $50 or more. Planet Express +3 If you're looking for something specific, let me know: What type of items you plan to buy (groceries, clothing, electronics, etc.) Whether you need local delivery or international shipping Your preferred budget or minimum spend I can narrow down the stores that best match your needs.",
30,uk,"ім'я аптек Farmacia за допомогою зручного чат-боту у Viber. Facebook·Аптечна професійна асоціація України - АПАУ +1 Liki24.com: На сайті сервісу в розділі «Контакти» працює онлайн-чат із реальним фахівцем, де можна обрати опцію «Консультація фармацевта» (зазвичай доступно удень). ШОТАМ Фармацевти допомагають дізнатися про наявність ліків, їхні аналоги та ціни. Для призначення рецептурних препаратів чи серйозного лікування зверніться до лікаря (наприклад, через сервіси на зразок Helsi чи Doc.ua). Аптечна Професійна Асоціація України +4 Якщо вас цікавить конкретне питання — наприклад, пошук аналога ліків чи наявність препарату в Хмельницькому, розкажіть детальніше, і я допоможу зорієнтуватися.",
32,en," pharmacy, health, and beauty brands like Walgreens, Boots, and Duane Reade. Pharmaoffer.com +1 CVS Health: Manages nearly 9,900 retail locations in the United States alongside extensive health and wellness services, offering a massive inventory of pharmaceuticals and general merchandise. Wikipedia +1 Dr. Max Group: Serves as a leading and rapidly growing European pharmacy network with over 3,300 outlets spanning multiple countries, stocking a diverse mix of pharmaceuticals, dermocosmetics, and health items. Geekplus robotics +1 If you are looking for a pharmacy with the widest product range in a specific country or local region, please let me know which area you are located in or targeting!",
